,Title,Series or Movie,COUNTRY,Release Date,GENRE,VALUE,Genre_all,Tags,Languages,Hidden Gem Score,Country Availability,Runtime,Director,Writer,Actors,View Rating,IMDb Score,Rotten Tomatoes Score,Metacritic Score,Awards Received,Awards Nominated For,Boxoffice,Netflix Release Date,Production House,Summary,IMDb Votes
0,thequeensgambit,TV,United States,2020-10-23,Drama,44867,"Biography, Drama, History","TV Dramas,US TV Shows,TV Shows Based on Books,Social Issue TV Dramas","English, German, French",4.3,"Lithuania,Canada,Australia,Poland,Mexico,France,South Africa,Iceland,Brazil,Spain,Thailand,Greece,India,Singapore,Czech Republic,Argentina,Hong Kong,Belgium,Israel,Portugal,Japan,Hungary,Slovakia,United Kingdom,South Korea,Sweden,Russia,United States,Netherlands,Germany,Switzerland,Italy,Turkey,Malaysia,Colombia,Romania",< 30 minutes,Stephen Frears,Peter Morgan,"Alex Jennings, Roger Allam, James Cromwell, Helen Mirren",PG-13,7.3,96.0,91.0,96.0,97.0,"$56,441,711",2020-10-23,"Pathé Pictures, Scott Rudin Productions","In a 1950s orphanage, a young girl reveals an astonishing talent for chess and begins an unlikely journey to stardom while grappling with addiction.",104495.0
1,365days,Movie,Poland,2020-06-07,Romance,42149,"Drama, Romance","Polish Movies,Polish Dramas,Dramas,Romantic Dramas,Romantic Movies,Movies Based on Books,Steamy Romance,International Dramas,European Dramas,European Movies,Romantic European Movies","Polish, English, Italian",1.6,"Poland,Russia,United Kingdom,Slovakia,Canada,Germany,United States,Portugal,Czech Republic,South Africa,Lithuania,India,Argentina,Hungary,Australia,Switzerland,France,Japan,Mexico,Netherlands,Spain,Belgium,Brazil,Sweden,Iceland,Italy,Greece,Hong Kong,Singapore,Thailand,Israel,South Korea,Turkey,Malaysia,Colombia,Romania",1-2 hour,"Tomasz Mandes, Barbara Bialowas","Blanka Lipinska, Tomasz Klimala, Barbara Bialowas, Tomasz Mandes","Michele Morrone, Otar Saralidze, Bronislaw Wroclawski, Anna Maria Sieklucka",TV-MA,3.2,,,,,,2020-04-02,,"A fiery executive in a spiritless relationship falls victim to a dominant mafia boss, who imprisons her and gives her one year to fall in love with him.",50125.0
2,emilyinparis,TV,United States,2020-10-02,Drama,27138,"Comedy, Drama, Romance","Comedy Programmes,Drama Programmes,Romantic TV Comedies,Romantic TV Dramas,US TV Shows","French, English",3.5,"Canada,Lithuania,Australia,Poland,Mexico,France,Brazil,South Africa,Iceland,Italy,India,Thailand,Spain,Singapore,Hong Kong,Greece,Argentina,Czech Republic,Japan,Israel,Belgium,South Korea,Portugal,Switzerland,Hungary,United States,United Kingdom,Slovakia,Sweden,Russia,Netherlands,Germany,Turkey,Malaysia,Colombia,Romania",< 30 minutes,,Darren Star,"Philippine Leroy-Beaulieu, Lucas Bravo, Lily Collins, Ashley Park",TV-MA,7.1,,,1.0,3.0,,2020-10-02,,"After landing her dream job in Paris, Chicago marketing exec Emily Cooper embraces her adventurous new life while juggling work, friends and romance.",45000.0
3,lucifer,TV,United States,2016-01-25,Superhero,25729,"Horror, Thriller","TV Dramas,Police TV Shows,TV Sci-Fi & Fantasy,Crime TV Dramas,TV Comedy Dramas,US TV Programmes,TV Comedies,US Police TV Shows,TV Programmes,Fantasy TV Shows,TV Shows Based on Comics",English,8.4,"South Korea,Iceland,Hungary,Australia,Hong Kong,Argentina,Russia,Czech Republic,France,Poland,Lithuania,Sweden,Japan,Romania,Switzerland,Portugal,Mexico,Belgium,Canada,Singapore,India,South Africa,Spain,United Kingdom,Thailand,Turkey,Greece,United States,Slovakia,Malaysia,Brazil,Netherlands,Italy,Israel,Colombia",< 30 minutes,Tiffany Castro,"Justin Kornmann, Brent Trotter","Peter Murnik, Abigail Zoe Lewis, Ryan Kelley, Jessica Morris",,6.9,,,,,,2017-07-24,,"Bored with being the Lord of Hell, the devil relocates to Los Angeles, where he opens a nightclub and forms a connection with a homicide detective.",57.0
4,theumbrellaacademy,TV,United States,2019-02-15,Superhero,23480,"Action, Adventure, Comedy, Drama, Fantasy, Sci-Fi","TV Sci-Fi & Fantasy,US TV Shows,TV Action & Adventure,TV Shows based on Comics",English,4.0,"Lithuania,Brazil,Israel,Spain,Slovakia,United Kingdom,Canada,Switzerland,South Africa,Czech Republic,Hong Kong,Argentina,Mexico,Belgium,United States,Japan,France,South Korea,Netherlands,Singapore,Russia,Australia,Poland,Sweden,Germany,India,Romania,Greece,Portugal,Iceland,Italy,Thailand,Hungary,Turkey,Malaysia,Colombia",< 30 minutes,,"Jeremy Slater, Steve Blackman","Emmy Raver-Lampman, Tom Hopper, Elliot Page, David Castañeda",TV-14,8.0,,,7.0,28.0,,2019-02-15,,"Reunited by their fathers death, estranged siblings with extraordinary powers uncover shocking family secrets -- and a looming threat to humanity.",159677.0
5,darkdesire,TV,Mexico,2020-07-15,Drama,21012,"Drama, Mystery, Thriller","TV Mysteries,Mexican TV Shows,Latin American TV Shows,TV Thrillers",Spanish,6.5,"Czech Republic,United States,Switzerland,Belgium,Russia,United Kingdom,Portugal,Netherlands,Canada,Australia,Lithuania,Mexico,Poland,Brazil,France,South Africa,India,Iceland,Thailand,Hong Kong,Italy,Singapore,Japan,Spain,Argentina,Greece,South Korea,Israel,Germany,Slovakia,Sweden,Hungary,Turkey,Malaysia,Colombia,Romania",< 30 minutes,,Leticia López Margalli,"María Fernanda Yepes, Erik Hayser, Jorge Poza, Maite Perroni",TV-MA,6.4,,,,,,2020-07-15,,"Married Alma spends a fateful weekend away from home that ignites passion, ends in tragedy and leads her to question the truth about those close to her.",3439.0
6,thecrown,TV,United Kingdom,2016-11-04,History,20937,"Biography, Drama, History","TV Programmes,British TV Programmes,TV Dramas",English,4.3,"Switzerland,Sweden,Netherlands,Belgium,France,Spain,Germany,Iceland,India,Portugal,Slovakia,Czech Republic,Lithuania,Russia,Greece,Romania,South Africa,Poland,Israel,Singapore,South Korea,Hong Kong,United Kingdom,United States,Mexico,Argentina,Canada,Brazil,Australia,Japan,Italy,Thailand,Hungary,Turkey,Malaysia,Colombia",< 30 minutes,,Peter Morgan,"Olivia Colman, Imelda Staunton, Matt Smith, Claire Foy",TV-MA,8.7,,,76.0,218.0,,2016-11-04,,This drama follows the political rivalries and romance of Queen Elizabeth IIs reign and the events that shaped the second half of the 20th century.,151197.0
7,friends,TV,United States,1994-09-22,Comedy,17782,"Comedy, Romance","TV Comedies,US TV Programmes,TV Programmes,Sitcoms","English, Dutch, Italian, French",4.5,"France,Belgium,Switzerland,Hong Kong,Lithuania,United Kingdom,Russia,South Korea,South Africa,India,Thailand,Japan,Netherlands,Israel,Italy,Australia,Singapore,Greece,Malaysia,Germany",< 30 minutes,,"Marta Kauffman, David Crane","Matt LeBlanc, Courteney Cox, Jennifer Aniston, Lisa Kudrow",TV-PG,8.9,,,77.0,220.0,,2015-04-14,,"This hit sitcom follows the merry misadventures of six 20-something pals as they navigate the pitfalls of work, life and love in 1990s Manhattan.",828187.0
8,enolaholmes,Movie,United Kingdom,2020-09-23,Drama,16427,"Action, Adventure, Crime, Drama, Mystery","Children & Family Movies,Action & Adventure,Dramas,Crime Movies,Crime Dramas,Adventures,Crime Action & Adventure,Movies Based on Books,Mysteries,Period Pieces,Family Features,Family Adventures,Historical Dramas,US Movies,Family Dramas,Historical Movies",English,3.3,"Lithuania,France,South Africa,India,Czech Republic,Hungary,United Kingdom,Russia,Germany,Poland,Spain,Mexico,South Korea,United States,Australia,Hong Kong,Japan,Canada,Singapore,Argentina,Greece,Switzerland,Slovakia,Sweden,Thailand,Belgium,Turkey,Malaysia,Brazil,Netherlands,Italy,Iceland,Portugal,Israel,Colombia,Romania",> 2 hrs,Harry Bradbeer,"Jack Thorne, Nancy Springer","Henry Cavill, Helena Bonham Carter, Millie Bobby Brown, Sam Claflin",PG-13,6.6,,68.0,,6.0,,2020-09-23,,"While searching for her missing mother, intrepid teen Enola Holmes uses her sleuthing skills to outsmart big brother Sherlock and help a runaway lord.",127503.0
9,yosoybettylafea,TV,Colombia,1999-10-25,Drama,16264,"Comedy, Drama, Romance","TV Soaps,TV Dramas,TV Programmes,Latin American TV Shows",Spanish,7.8,"Argentina,Mexico,Colombia",< 30 minutes,,,"Jorge Enrique Abello, Lorna Cepeda, Ana María Orozco, Natalia Ramírez",TV-PG,8.2,,,5.0,,,2015-04-14,,"Never very pretty, Betty has dedicated all her time to her studies. But her life changes when she gets a job at Eco Moda and meets Armando Mendoza.",2517.0
10,thechristmaschroniclesparttwo,Movie,Canada,2020-11-25,Comedy,15910,"Adventure, Comedy, Family, Fantasy","Children & Family Movies,Comedies,Action Comedies,Family Features,Family Comedies",English,2.8,"Australia,Poland,Brazil,India,Hong Kong,Japan,United States,Canada,France,Italy,Singapore,Spain,Argentina,Israel,Switzerland,Czech Republic,United Kingdom,Slovakia,Sweden,Netherlands,Germany,Thailand,Russia,Mexico,Belgium,Turkey,Malaysia,Greece,Hungary,South Korea,South Africa,Iceland,Portugal,Lithuania,Colombia,Romania",1-2 hour,Chris Columbus,"Matt Lieberman, David Guggenheim, Chris Columbus","Goldie Hawn, Julian Dennison, Kurt Russell, Darby Camp",PG,6.0,,51.0,,,,2020-11-27,,"Unhappy over her momâ€™s new relationship, a now-teenage Kate runs away and lands at the North Pole, where a naughty elf is plotting to cancel Christmas.",22901.0
11,ratched,TV,United States,2020-09-18,Drama,15762,"Crime, Drama, Mystery, Thriller","TV Dramas,US TV Shows,TV Horror,TV Thrillers,TV Shows Based on Books,LGBTQ TV Programmes,TV Mysteries",English,3.6,"Russia,Canada,Lithuania,Australia,Poland,Mexico,Brazil,France,South Africa,India,Iceland,Thailand,Italy,Singapore,Spain,Hong Kong,Greece,Argentina,Japan,Czech Republic,Israel,South Korea,Portugal,Hungary,United Kingdom,United States,Slovakia,Netherlands,Germany,Sweden,Belgium,Switzerland,Turkey,Malaysia,Colombia,Romania",< 30 minutes,,"Ryan Murphy, Evan Romansky","Finn Wittrock, Cynthia Nixon, Judy Davis, Sarah Paulson",TV-MA,7.3,,,,6.0,,2020-09-20,,"In 1947, Mildred Ratched begins working as a nurse at a leading psychiatric hospital. But beneath her stylish exterior lurks a growing darkness.",38246.0
12,holidate,Movie,United States,2020-10-28,Comedy,14831,Reality-TV,"Romantic Comedies,Comedies,Romantic Movies,Romantic Favorites,US Movies,Family Cozy Time",English,8.4,"France,Australia,Lithuania,Poland,Brazil,Iceland,India,Spain,Greece,Hong Kong,Czech Republic,Japan,Belgium,Portugal,South Korea,Hungary,United States,Slovakia,Sweden,Russia,Netherlands,Germany,Canada,Mexico,South Africa,Thailand,Argentina,Israel,Switzerland,Singapore,Italy,Turkey,Malaysia,United Kingdom,Colombia,Romania",1-2 hour,,,"Philippe Debaty, James R. Kendall, Carey Urban, Kevin Charchenko",,6.9,,,,,,2020-10-30,,"Fed up with being single on holidays, two strangers agree to be each others platonic plus-ones all year long, only to catch real feelings along the way.",14.0
13,dark,TV,Germany,2017-12-01,Mystery,14794,"Crime, Drama, Mystery, Sci-Fi, Thriller","Sci-Fi & Fantasy Programmes,Drama Programmes,TV Programmes,Crime TV Dramas,Crime Programmes,Thriller Programmes",German,4.4,"Lithuania,Brazil,Spain,United Kingdom,Argentina,France,Singapore,Germany,Canada,Netherlands,Sweden,Czech Republic,India,Australia,Poland,Hong Kong,United States,Russia,Slovakia,Israel,Japan,Romania,Mexico,South Korea,Belgium,Greece,Switzerland,Portugal,South Africa,Iceland,Italy,Thailand,Hungary,Turkey,Malaysia,Colombia",< 30 minutes,,"Baran bo Odar, Jantje Friese","Lisa Vicari, Karoline Eichhorn, Louis Hofmann, Maja Schöne",TV-MA,8.8,,,6.0,20.0,,2017-12-01,,A missing child sets four families on a frantic hunt for answers as they unearth a mind-bending mystery that spans three generations.,283756.0
14,thelastdance,TV,United States,2020-04-19,Documentary,14145,"Documentary, Biography, History, Sport","Sports Documentaries,US TV Shows,Social & Cultural Docs,Docuseries,Sports & Fitness",English,4.6,"Portugal,Slovakia,Lithuania,India,Belgium,Turkey,Spain,United Kingdom,Thailand,South Africa,France,Mexico,Switzerland,Singapore,Romania,Czech Republic,Iceland,Australia,Japan,Sweden,Russia,Poland,Germany,Hungary,Canada,Argentina,South Korea,United States,Greece,Malaysia,Brazil,Netherlands,Italy,Israel,Colombia",< 30 minutes,,,"Michael Jordan, David Aldridge, Phil Jackson, Scottie Pippen",TV-MA,9.2,,,6.0,4.0,,2020-04-20,,"This docuseries gives a definitive account of Michael Jordan’s career and the 1990s Chicago Bulls, packed with unaired footage from the 1997-98 season.",79011.0
15,theoldguard,Movie,United States,2020-07-10,Superhero,13918,"Action, Adventure, Fantasy, Thriller","Action & Adventure,Adventures,Movies Based on Books,Action Thrillers,Action Movies,US Movies,Critically-acclaimed Action & Adventure,Critically Acclaimed Films","English, Arabic, French, Italian",3.4,"Russia,United Kingdom,Slovakia,Lithuania,Mexico,France,Spain,Czech Republic,Switzerland,Poland,Thailand,Portugal,Canada,India,Iceland,Japan,Australia,Germany,Argentina,South Korea,Hong Kong,South Africa,Hungary,Singapore,Greece,Belgium,Sweden,United States,Turkey,Malaysia,Brazil,Netherlands,Italy,Israel,Colombia,Romania",> 2 hrs,Gina Prince-Bythewood,"Leandro Fernandez, Greg Rucka","Matthias Schoenaerts, KiKi Layne, Charlize Theron, Marwan Kenzari",R,6.6,,70.0,2.0,16.0,,2020-07-10,,Four undying warriors whove secretly protected humanity for centuries become targeted for their mysterious powers just as they discover a new immortal.,128402.0
16,bodyguard,TV,United Kingdom,2018-08-26,Action,109,"Crime, Drama, Thriller","European TV Shows,TV Shows,Crime TV Shows,TV Dramas,TV Thrillers,British TV Shows,TV Mysteries,Political TV Shows,Crime TV Dramas",English,4.0,"Lithuania,Belgium,Romania,Spain,Switzerland,Canada,Hong Kong,Argentina,South Africa,Portugal,Australia,Japan,France,South Korea,Mexico,Singapore,Poland,Russia,Czech Republic,Sweden,India,Germany,Slovakia,United Kingdom,Iceland,Thailand,Hungary,Turkey,Greece,United States,Malaysia,Brazil,Netherlands,Italy,Israel,Colombia",< 30 minutes,,Jed Mercurio,"Ash Tandon, Vincent Franklin, Sophie Rundle, Richard Madden",TV-MA,8.1,,,13.0,25.0,,2018-10-24,,"After helping thwart a terrorist attack, a war veteran is assigned to protect a politician who was a main proponent of the very conflict he fought in.",94693.0
17,thesocialdilemma,Movie,United States,2020-09-09,Documentary,13588,"Documentary, Drama","Science & Nature Documentaries,Documentaries,US Movies",English,3.9,"Canada,Lithuania,Australia,Mexico,Poland,Brazil,France,South Africa,Iceland,India,Thailand,Italy,Spain,Singapore,Hong Kong,Greece,Argentina,Japan,Czech Republic,Israel,South Korea,Switzerland,Belgium,United States,Portugal,United Kingdom,Hungary,Russia,Slovakia,Netherlands,Germany,Sweden,Turkey,Malaysia,Colombia,Romania",1-2 hour,Jeff Orlowski,"Vickie Curtis, Davis Coombe, Jeff Orlowski","Joe Toscano, Jeff Seibert, Tristan Harris, Bailey Richardson",PG-13,7.7,,78.0,3.0,11.0,,2020-09-09,,"This documentary-drama hybrid explores the dangerous human impact of social networking, with tech experts sounding the alarm on their own creations.",64767.0
18,projectpower,Movie,United States,2020-08-14,Action,13006,"Action, Crime, Sci-Fi, Thriller","Sci-Fi & Fantasy,Action Sci-Fi & Fantasy,Crime Movies,Sci-Fi Thrillers,Action Thrillers,Crime Action,Action Movies,Action & Adventure,Crime Action & Adventure,Sci-Fi,US Movies",English,2.8,"Germany,United Kingdom,Lithuania,France,Iceland,Canada,Italy,Mexico,Spain,Greece,Belgium,Thailand,Portugal,Hungary,Singapore,South Africa,Argentina,Czech Republic,Switzerland,Australia,Brazil,India,Poland,Hong Kong,Japan,South Korea,United States,Russia,Israel,Netherlands,Slovakia,Sweden,Turkey,Malaysia,Colombia,Romania",1-2 hour,"Henry Joost, Ariel Schulman",Mattson Tomlin,"Jamie Foxx, Dominique Fishback, Joseph Gordon-Levitt, Rodrigo Santoro",R,6.0,,51.0,,5.0,,2020-08-14,,"An ex-soldier, a teen and a cop collide in New Orleans as they hunt for the source behind a dangerous new pill that grants users temporary superpowers.",70430.0
19,thehauntingofblymanor,TV,United States,2020-10-09,Horror,13006,"Drama, Horror, Mystery, Thriller","Mystery Programmes,Drama Programmes,LGBTQ TV Programmes,Horror Programmes,TV Programmes Based on Books,US TV Shows",English,3.7,"Canada,Lithuania,Australia,Poland,Mexico,France,Brazil,South Africa,Iceland,Italy,India,Thailand,Spain,Singapore,Hong Kong,Greece,Argentina,Czech Republic,Japan,Israel,Belgium,South Korea,Portugal,Switzerland,Hungary,United States,United Kingdom,Slovakia,Russia,Sweden,Netherlands,Germany,Turkey,Malaysia,Colombia,Romania",< 30 minutes,,Mike Flanagan,"Amelia Eve, T'Nia Miller, Oliver Jackson-Cohen, Victoria Pedretti",TV-MA,7.4,,,,5.0,,2020-10-09,,"Dead doesnt mean gone. An au pair plunges into an abyss of chilling secrets in this gothic romance from the creator of ""The Haunting of Hill House.""",68730.0
20,thespongebobmoviespongeontherun,Movie,United States,2020-11-05,Animated,12833,"Animation, Adventure, Comedy, Family","Children & Family Movies,Comedies,Family Features,Family Comedies,US Movies","English, Spanish",3.5,"United Kingdom,India,Lithuania,Russia,Hungary,South Korea,Mexico,Hong Kong,Japan,France,Switzerland,Thailand,Belgium,Brazil,Czech Republic,Netherlands,Spain,Germany,South Africa,Iceland,Portugal,Israel,Italy,Australia,Poland,Singapore,Argentina,Greece,Malaysia,Slovakia,Sweden,Turkey,Colombia,Romania",1-2 hour,Tim Hill,"Stephen Hillenburg, Jonathan Aibel, Tim Hill, Glenn Berger","Rodger Bumpass, Clancy Brown, Tim Hill, Bill Fagerbakke",PG,6.0,80.0,,,,"$4,810,790",2020-11-05,"Netflix, United Plankton Pictures, Paramount Animation, Media Rights Capital (MRC), Nickelodeon Movies, Nickelodeon Animation Studios","When his best friend Gary is suddenly snatched away, SpongeBob takes Patrick on a madcap mission far beyond Bikini Bottom to save their pink-shelled pal.",10485.0
21,cursed,TV,United States,2020-07-17,Fantasy,12791,"Comedy, Horror","Action & Adventure Programmes,Drama Programmes,Teen Programmes,US TV Programmes,Fantasy TV Programmes,TV Programmes Based on Books,Teen TV Dramas",English,2.0,"Israel,Czech Republic,United States,Switzerland,Belgium,Russia,United Kingdom,Portugal,Netherlands,Slovakia,Germany,Sweden,Hungary,Canada,Australia,Lithuania,Mexico,Poland,Brazil,South Africa,France,India,Iceland,Argentina,Hong Kong,Italy,Japan,Spain,Greece,South Korea,Thailand,Singapore,Turkey,Malaysia,Colombia,Romania",< 30 minutes,Wes Craven,Kevin Williamson,"Shannon Elizabeth, Portia de Rossi, Kristina Anapau, Mya",PG-13,5.0,,31.0,,3.0,"$19,297,522",2020-07-17,,"Armed with mysterious powers and a legendary sword, young rebel NimueÂ joins forces with charming mercenary Arthur on a mission to save her people.",30608.0
22,thekissingbooth2,Movie,United Kingdom,2020-07-24,Romance,12763,"Comedy, Romance","Teen Movies,Romantic Comedies,Comedies,Romantic Movies,Movies Based on Books,Romantic Favorites,US Movies,Family Cozy Time,Teen Romance,Youth Drama Movies,Romantic Youth Drama",English,2.4,"South Korea,Israel,Czech Republic,Switzerland,United States,Belgium,Russia,Portugal,United Kingdom,Netherlands,Slovakia,Germany,Sweden,Hungary,Canada,Australia,Lithuania,Mexico,Poland,Brazil,South Africa,France,Hong Kong,Iceland,Thailand,Italy,Japan,Singapore,Spain,Argentina,Greece,India,Turkey,Malaysia,Colombia,Romania",> 2 hrs,Vince Marcello,"Beth Reekles, Vince Marcello, Jay S Arnold","Molly Ringwald, Joel Courtney, Jacob Elordi, Joey King",TV-14,5.8,,39.0,1.0,1.0,,2020-07-24,,"With college decisions looming, Elle juggles her long-distance romance with Noah, changing relationship with bestie Lee and feelings for a new classmate.",20131.0
23,cobrakai,TV,United States,2018-05-02,Action,12270,"Action, Comedy, Drama, Sport","TV Action & Adventure,TV Dramas,US TV Shows",English,4.3,"Brazil,United States,Spain,Czech Republic,Israel,Lithuania,Mexico,Australia,Poland,South Africa,France,Iceland,Thailand,India,Italy,Singapore,Hong Kong,Greece,Argentina,Japan,Belgium,United Kingdom,Portugal,South Korea,Hungary,Russia,Slovakia,Netherlands,Germany,Sweden,Canada,Switzerland,Turkey,Malaysia,Colombia,Romania",< 30 minutes,,,"Ralph Macchio, William Zabka, Xolo Maridueña, Courtney Henggeler",TV-14,8.6,,,,11.0,,2020-08-28,,"Decades after the tournament that changed their lives, the rivalry between Johnny and Daniel reignites in this sequel to the ""Karate Kid"" films.",109970.0
24,itsokaytonotbeokay,TV,South Korea,2020-06-20,Drama,11751,Horror,"TV Comedies,TV Dramas,Romantic TV Comedies,Romantic TV Dramas,Korean TV Shows,K-dramas","English, Hebrew",3.8,"Lithuania,Mexico,India,South Korea,Russia,United Kingdom,Argentina,Australia,Canada,Japan,Hong Kong,Singapore,South Africa,Iceland,Thailand,Spain,Greece,Belgium,France,Czech Republic,Portugal,Switzerland,Slovakia,Poland,Germany,Hungary,United States,Sweden,Turkey,Malaysia,Brazil,Netherlands,Italy,Israel,Colombia,Romania",< 30 minutes,Andy Muschietti,"Gary Dauberman, Chase Palmer, Stephen King, Cary Joji Fukunaga","Sophia Lillis, Finn Wolfhard, Jaeden Martell, Jeremy Ray Taylor",R,7.3,86.0,69.0,8.0,47.0,"$328,828,874",2020-06-21,"Vertigo Entertainment, RatPac-Dune Entertainment, Lin Pictures",An extraordinary road to emotional healing opens up for an antisocial childrens book writer and a selfless psych ward caretaker when they cross paths.,460854.0
25,pawpatrol,TV,United States,2013-08-12,Animation,11013,"Animation, Action, Adventure, Comedy, Family, Sport","Kids TV,Animal Tales,TV Cartoons,TV Programmes",English,7.0,"Canada,Portugal,United Kingdom,Switzerland,Mexico,Japan,Belgium,France,Thailand,Brazil,Hong Kong,Netherlands,Spain,Germany,Italy,Poland,Singapore,Argentina,Malaysia,Turkey,Colombia,South Korea",< 30 minutes,,Keith Chapman,"Devan Cohen, Ron Pardo, Kallan Holley, Samuel Faraci",TV-Y,6.2,,,26.0,34.0,,2015-04-14,,"Six heroic puppies led by a tech-savvy 10-year-old pull off high-stakes rescue missions using humor, problem-solving skills and cool vehicles.",2174.0
26,lockedup,TV,Spain,2015-04-20,Drama,10746,"Crime, Drama, Thriller","Independent Dramas,Independent Films,B-Horror Films,Dramas,Independent Action & Adventure,Action & Adventure",English,5.9,Japan,1-2 hour,Jared Cohn,Jared Cohn,"Katrina Grey, Jared Cohn, Kelly McCart, Kat Ingkarat",TV-MA,3.9,12.0,,,,,2018-04-01,"Slightly Distorted Productions, The Asylum","After getting in a fight at her school in Southeast Asia, an American teen is sent to a correctional facility, where she faces hard labor and abuse.",810.0
27,modernfamily,TV,United States,2009-09-23,Comedy,10678,"Comedy, Drama, Romance","TV Comedies,Mockumentaries,US TV Programmes,TV Programmes,Sitcoms,LGBTQ TV Programmes","English, Spanish, Chinese",4.2,"Hong Kong,South Korea,Switzerland,Thailand,United Kingdom,Portugal,Canada,France,Belgium,Mexico,South Africa,Japan,Lithuania,Russia,Hungary,Brazil,Czech Republic,Netherlands,Spain,Germany,Israel,Italy,Poland,Singapore,Argentina,Greece,Slovakia,Malaysia,Sweden,Turkey,Colombia,Romania",< 30 minutes,,"Steven Levitan, Christopher Lloyd","Ty Burrell, Julie Bowen, Ed O'Neill, Sofía Vergara",TV-PG,8.4,,,119.0,383.0,,2015-04-14,,This Emmy-winning sitcom follows Jay Pritchett and his eclectic family as they deal with the challenges of contemporary life in Los Angeles.,355029.0
28,hubiehalloween,Movie,United States,2020-10-07,Comedy,10571,"Comedy, Fantasy, Mystery","Comedies,Horror Movies,Mysteries,Slapstick Comedies,Horror Comedies,Werewolf Horror Films,US Movies",English,2.6,"Lithuania,Canada,Australia,Poland,Mexico,France,Brazil,South Africa,Iceland,India,Thailand,Italy,Spain,Hong Kong,Singapore,Greece,Argentina,Japan,Czech Republic,Israel,South Korea,Belgium,Switzerland,United States,Portugal,Russia,Hungary,Slovakia,Sweden,Netherlands,Germany,Turkey,Malaysia,United Kingdom,Colombia,Romania",1-2 hour,Steven Brill,"Adam Sandler, Tim Herlihy","Adam Sandler, Kevin James, Julie Bowen, Ray Liotta",PG-13,5.2,,53.0,,,,2020-10-07,,"Hubies not the most popular guy in Salem, Mass., but when Halloween turns truly spooky, this good-hearted scaredy-cat sets out to keep his town safe.",38956.0
29,warriornun,TV,United States,2020-07-02,Fantasy,10536,"Action, Drama, Fantasy","TV Action & Adventure,Teen TV Shows,US TV Shows,Fantasy TV Shows,TV Shows Based on Comics,TV Mysteries",English,3.4,"South Korea,Israel,Greece,Czech Republic,Switzerland,United States,Belgium,United Kingdom,Russia,Netherlands,Slovakia,Germany,Sweden,Hungary,Canada,Australia,Lithuania,Mexico,Poland,Brazil,France,South Africa,India,Iceland,Thailand,Hong Kong,Italy,Singapore,Japan,Spain,Argentina,Portugal,Turkey,Malaysia,Colombia,Romania",< 30 minutes,,Simon Barry,"Alba Baptista, Kristina Tonteri-Young, Lorena Andrea, Toya Turner",TV-MA,6.8,,,,1.0,,2020-07-02,,"After waking up in a morgue, an orphaned teen discovers she now possesses superpowers as the chosen Halo-Bearer for a secret sect of demon-hunting nuns.",21104.0
30,startrekdiscovery,TV,United States,2017-09-24,Science Fiction,10529,"Action, Adventure, Drama, Sci-Fi","TV Sci-Fi & Fantasy,TV Action & Adventure,TV Programmes,US TV Programmes,Alien Sci-Fi,Sci-Fi TV","English, Klingon",3.6,"United Kingdom,France,Lithuania,India,Hong Kong,Russia,Hungary,Japan,Romania,South Korea,Belgium,Switzerland,Portugal,Mexico,South Africa,Thailand,Iceland,Brazil,Czech Republic,Netherlands,Spain,Germany,Israel,Italy,Australia,Poland,Singapore,Argentina,Greece,Slovakia,Malaysia,Sweden,Turkey,Colombia",< 30 minutes,,"Bryan Fuller, Alex Kurtzman","Doug Jones, Mary Wiseman, Sonequa Martin-Green, Anthony Rapp",TV-14,7.2,,,9.0,44.0,,2017-09-25,,"After a century of silence, war erupts between the Federation and Klingon Empire, with a disgraced Starfleet officer at the center of the conflict.",96309.0
31,toohottohandle,TV,United States,2020-04-17,Reality-Show,10405,"Game-Show, Reality-TV, Romance","Competition Reality TV,US TV Shows,Reality TV,Wedding & Romance Reality TV",English,3.4,"Lithuania,Slovakia,India,Singapore,Portugal,Thailand,Mexico,Belgium,Spain,United Kingdom,Turkey,Switzerland,Greece,France,Israel,Italy,South Africa,United States,Romania,Iceland,Czech Republic,Australia,South Korea,Sweden,Japan,Hong Kong,Poland,Netherlands,Russia,Hungary,Germany,Argentina,Canada,Brazil,Malaysia,Colombia",< 30 minutes,,,"David Birtwistle, Harry Jowsey, Chloe Veitch, Francesca Farago",TV-MA,4.5,,,,,,2020-04-17,,"On the shores of paradise, gorgeous singles meet and mingle. But there’s a twist. To win a $100,000 grand prize, they’ll have to give up sex.",7724.0
32,away,TV,United States,2020-09-04,Science Fiction,10277,"Drama, Romance, Sci-Fi","TV Dramas,Romantic TV Dramas,US TV Shows,Futuristic Sci-Fi,TV Shows Based on Books,Sci-Fi TV",English,3.3,"Lithuania,Canada,Australia,Poland,Mexico,France,South Africa,Iceland,Thailand,Brazil,Singapore,India,Italy,Hong Kong,Spain,Japan,Greece,Czech Republic,Belgium,South Korea,United States,Argentina,Israel,United Kingdom,Russia,Portugal,Hungary,Slovakia,Netherlands,Germany,Sweden,Switzerland,Turkey,Malaysia,Colombia,Romania",< 30 minutes,,Andrew Hinderaker,"Vivian Wu, Hilary Swank, Josh Charles, Mark Ivanir",TV-14,6.6,,,1.0,2.0,,2020-09-04,,Commander Emma Green leaves behind her husband and daughter to lead an international crew of astronauts on a perilous three-year mission to Mars.,20660.0
