,Title,Series or Movie,COUNTRY,Release Date,GENRE,VALUE,Genre_all,Tags,Languages,Hidden Gem Score,Country Availability,Runtime,Director,Writer,Actors,View Rating,IMDb Score,Rotten Tomatoes Score,Metacritic Score,Awards Received,Awards Nominated For,Boxoffice,Netflix Release Date,Production House,Summary,IMDb Votes
175,roseisland,Movie,Italy,2020-12-09,Comedy,2395,"Adventure, Comedy, Drama","Movies Based on Real Life,Social Issue Dramas,Dramas,Comedies,Italian Movies","Italian, French, German",3.5,"Czech Republic,Israel,India,Canada,Australia,Lithuania,Mexico,Poland,Brazil,South Africa,France,Iceland,Hong Kong,Thailand,Italy,Japan,Singapore,Spain,South Korea,Argentina,Greece,United States,Russia,Switzerland,Belgium,United Kingdom,Portugal,Malaysia,Hungary,Slovakia,Sweden,Netherlands,Germany,Turkey,Colombia,Romania",1-2 hour,Sydney Sibilia,"Sydney Sibilia, Francesca Manieri","Matilda De Angelis, Elio Germano, Leonardo Lidi, Tom Wlaschiha",TV-14,7.0,,,,,,2020-12-09,,"An idealistic engineer builds his own island off the coast of Italy and declares it a nation, drawing the attention of the world — and the government.",12240.0
176,themeg,Movie,United States,2018-08-10,Horror,2383,"Action, Horror, Sci-Fi, Thriller","Action Thrillers,Action & Adventure,Movies based on Books,Creature Features,Action","English, Mandarin, Thai, Japanese",2.5,"Switzerland,Hong Kong,Italy,Singapore,India,Turkey,Thailand,Malaysia",1-2 hour,Jon Turteltaub,"Dean Georgaris, Erich Hoeber, Jon Hoeber, Steve Alten","Jason Statham, Bingbing Li, Cliff Curtis, Rainn Wilson",PG-13,5.6,45.0,46.0,4.0,6.0,"$145,443,742",2019-05-28,"Gravity Pictures, Flagship Entertainment, Di Bonaventura Pictures, Apelles Entertainment, Warner Bros. Pictures, Maeday Productions","A washed-out rescue diver is pulled back in for one more job -- to save his friends from a monstrous megalodon, long thought extinct.",151262.0
177,deadlyclass,TV,United States,2019-01-16,Superhero,2370,"Action, Adventure, Comedy, Crime, Drama, Thriller","TV Comedies,TV Action & Adventure,US TV Shows,TV Thrillers",English,3.8,"Hong Kong,Switzerland,Thailand,Belgium,Netherlands,Germany,Italy,Singapore,Malaysia,Sweden,Turkey",< 30 minutes,,"Miles Orion Feldsott, Rick Remender","Benedict Wong, Lana Condor, María Gabriela de Faría, Benjamin Wadsworth",TV-MA,7.6,,,,6.0,,2020-11-01,,"In 1980s San Francisco, a homeless teen is recruited to a storied private school where kids from crime families learn to master ""the deadly arts.""",13035.0
178,getorganizedwiththehomeedit,TV,United States,2020-09-09,Reality-Show,2365,Reality-TV,"Reality TV,Makeover Reality TV,Home & Garden Reality TV,Lifestyle,US TV Shows,US TV Shows,International Reality, Talk & Variety Shows,Variety Entertainment,Reality, Variety & Talk Shows",English,7.1,"Canada,Lithuania,Australia,Mexico,Poland,Brazil,France,South Africa,Iceland,India,Thailand,Italy,Spain,Singapore,Hong Kong,Greece,Argentina,Japan,Czech Republic,Israel,South Korea,Switzerland,Belgium,United States,Portugal,United Kingdom,Hungary,Russia,Slovakia,Netherlands,Germany,Sweden,Turkey,Malaysia,Colombia,Romania",< 30 minutes,,,Clea Shearer,TV-PG,4.4,,,,,,2020-09-09,,"Expert home organizers Clea and Joanna help celebrities and everyday clients edit, categorize and contain their clutter to create stunning spaces.",157.0
179,thepurgeanarchy,Movie,United States,2014-07-17,Horror,2336,"Action, Adventure, Horror, Sci-Fi, Thriller","Thrillers,Horror Movies,Action & Adventure,Sci-Fi & Fantasy,Action Sci-Fi & Fantasy,Sci-Fi Thrillers,Action Thrillers,Chilling Horror Movies,Futuristic Sci-Fi,US Movies,Action Movies",English,2.8,"Lithuania,Russia,India,United Kingdom,Mexico,Hungary,Hong Kong,Switzerland,Thailand,Czech Republic,Germany,South Africa,Iceland,Israel,Italy,Australia,Poland,Singapore,Greece,Argentina,Slovakia,Malaysia,Sweden,Turkey,Colombia,Romania",1-2 hour,James DeMonaco,James DeMonaco,"Kiele Sanchez, Carmen Ejogo, Zach Gilford, Frank Grillo",R,6.4,57.0,50.0,3.0,6.0,"$71,962,800",2016-01-25,"Platinum Dunes, Why Not Productions, Blumhouse","In this dark sequel, ordinary citizens do their best to survive during an annual 12-hour amnesty when any criminal act can be committed.",138939.0
180,dirtyjohn,TV,United States,2018-11-25,Drama,2335,"Crime, Drama","TV Thrillers,TV Dramas,US TV Shows,Crime TV Shows,Crime TV Dramas",English,3.6,"Lithuania,Spain,United Kingdom,Greece,Slovakia,Canada,Hong Kong,Japan,France,Australia,South Korea,Portugal,Russia,Poland,Singapore,Sweden,Germany,Switzerland,Czech Republic,Argentina,Mexico,Belgium,Romania,South Africa,Iceland,Thailand,Hungary,Turkey,India,United States,Malaysia,Brazil,Netherlands,Italy,Israel,Colombia",< 30 minutes,,Alexandra Cunningham,"Connie Britton, Amanda Peet, Eric Bana, Christian Slater",TV-14,7.2,,,,4.0,,2019-02-14,,Businesswoman Debra Newells life unravels when she falls for the lies and manipulation of con man John Meehan. Based on the true-crime podcast.,15508.0
181,thegreatheist,TV,Colombia,2020-08-14,Crime,2320,"Crime, Drama, Thriller","Latin American TV Programmes,TV Thrillers",Spanish,7.7,"United Kingdom,Germany,Lithuania,France,Iceland,Italy,Mexico,Spain,Greece,Belgium,Thailand,Hungary,Singapore,Canada,Czech Republic,South Africa,Portugal,Argentina,Switzerland,Australia,Brazil,India,Poland,Hong Kong,Japan,South Korea,United States,Russia,Israel,Netherlands,Slovakia,Sweden,Turkey,Malaysia,Colombia,Romania",< 30 minutes,,"Pablo Gonzalez, C.S. Prince","Waldo Urrego, Christian Tappan, Andrés Parra, Marcela Benjumea",TV-MA,7.3,,,,,,2020-08-15,,"In 1994, a team of thieves plans an ambitious heist to steal millions from Colombias Bank of the Republic. Inspired by true events.",1910.0
182,theflash,TV,United States,2014-10-07,Superhero,2318,"Action, Adventure, Drama, Sci-Fi","TV Programmes,Comic Book & Superhero TV,TV Action & Adventure,TV Sci-Fi & Fantasy,US TV Programmes,TV Shows Based on Comics,Sci-Fi TV",English,3.9,"United States,Iceland,Portugal,Greece,South Korea,Belgium,Hong Kong,Argentina,Russia,Czech Republic,France,Poland,Lithuania,Sweden,Japan,Romania,Hungary,South Africa,Switzerland,Singapore,Canada,Slovakia,Thailand,Malaysia,Brazil,Netherlands,Israel,Mexico,Colombia",< 30 minutes,,"Geoff Johns, Andrew Kreisberg, Greg Berlanti","Danielle Panabaker, Candice Patton, Tom Cavanagh, Grant Gustin",TV-PG,7.7,,,27.0,84.0,,2015-10-06,,A forensics expert who wakes from a coma with amazing new powers squares off against forces threatening the city in this live-action superhero romp.,305176.0
183,vikings,TV,Ireland,2013-03-03,History,2316,"Action, Adventure, Drama, History, Romance, War","TV Action & Adventure,US TV Programmes,TV Dramas,TV Programmes,Period Pieces,Political TV Programmes,Canadian TV Programmes,Epics","French, Arabic, Greek,  Ancient (to 1453), Russian, English, Old English, Norse,  Old, Latin",4.2,"Hungary,Russia,Hong Kong,South Korea,Lithuania,Romania,Belgium,France,Portugal,Iceland,Canada,South Africa,Switzerland,Thailand,Brazil,Czech Republic,Netherlands,Spain,Germany,Israel,Italy,Australia,Poland,Singapore,India,Argentina,Greece,Slovakia,Malaysia,Sweden,Turkey,Mexico,Colombia,Japan",< 30 minutes,,Michael Hirst,"Alexander Ludwig, Georgia Hirst, Katheryn Winnick, Gustaf Skarsgård",TV-MA,8.5,,,38.0,121.0,,2015-04-14,,This gritty drama charts the exploits of Viking hero Ragnar Lothbrok as he extends the Norse reach by challenging an unfit leader who lacks vision.,432371.0
184,thelifeahead,Movie,Italy,2020-11-13,Drama,2312,Drama,"Dramas,Italian Movies,Movies Based on Books","Italian, Spanish, Hebrew, Romanian",4.5,"Lithuania,India,Germany,Poland,Czech Republic,South Korea,Mexico,Hong Kong,France,Spain,Greece,Slovakia,Sweden,Belgium,Turkey,Hungary,Brazil,Netherlands,Italy,Iceland,Portugal,Argentina,Canada,South Africa,Thailand,Singapore,Australia,Israel,Switzerland,United Kingdom,Japan,United States,Russia,Malaysia,Colombia,Romania",1-2 hour,Edoardo Ponti,"Romain Gary, Edoardo Ponti, Ugo Chiti, Fabio Natale","Sophia Loren, Iosif Diego Pirvu, Ibrahima Gueye, Renato Carpentieri",PG-13,6.8,,66.0,8.0,24.0,,2020-11-13,,A Holocaust survivor running a daycare business forms an unlikely friendship with a bitter street kid when she takes him in after he robs her.,7696.0
185,midnightatthemagnolia,Movie,Canada,2020-11-05,Comedy,2305,"Comedy, Romance","Romantic Comedies,Comedies,Romantic Movies,US Movies",English,5.9,"Russia,Czech Republic,India,United States,Hungary,Australia,Hong Kong,Singapore,Argentina,Germany,Thailand,Mexico,Malaysia,Brazil,Netherlands,Spain,South Korea,South Africa,Iceland,Portugal,Israel,Poland,Sweden,Turkey,Italy,Lithuania,Greece,Belgium,Slovakia,United Kingdom,Japan,Colombia,Romania",1-2 hour,Max McGuire,Carley Smale,"Natalie Hall, Steve Cumyn, Evan Williams, Alison Brooks",TV-G,5.8,,,,,,2020-11-05,,Longtime friends and local radio hosts Maggie and Jack fake it as a couple for their families and listeners in hopes of getting their show syndicated.,3932.0
186,justanotherchristmas,Movie,Brazil,2020-12-03,Comedy,2301,"Comedy, Drama","Brazilian Movies,Tearjerkers,Comedies",Portuguese,6.6,"Germany,Poland,France,Brazil,Hong Kong,Israel,Italy,Russia,Spain,Greece,Belgium,Slovakia,Sweden,Netherlands,Turkey,Czech Republic,South Korea,Iceland,Portugal,India,Lithuania,Mexico,Argentina,Singapore,Japan,Canada,South Africa,Hungary,Thailand,Australia,Switzerland,United Kingdom,United States,Malaysia,Colombia,Romania",1-2 hour,Roberto Santucci,Paulo Cursino,"Louise Cardoso, Arianne Botelho, José Rubens Chachá, Neto Cajado",,6.7,,,,,,2020-12-03,,"Stuck in a time loop where its forever Christmas, a family man who hates the holiday starts to learn valuable lessons about whats important in life.",3442.0
